id,title,release_date,video,popularity,vote_average
278,The Shawshank Redemption,1994-09-23,False,34.3,8.713
238,The Godfather,1972-03-14,False,25.5233,8.684
240,The Godfather Part II,1974-12-20,False,17.7748,8.57
424,Schindler's List,1993-12-15,False,10.4429,8.566
389,12 Angry Men,1957-04-10,False,8.9901,8.5
129,Spirited Away,2001-07-20,False,19.2338,8.534
155,The Dark Knight,2008-07-16,False,25.3668,8.525
19404,Dilwale Dulhania Le Jayenge,1995-10-20,False,8.5706,8.5
497,The Green Mile,1999-12-10,False,16.5023,8.503
496243,Parasite,2019-05-30,False,18.3906,8.496
122,The Lord of the Rings: The Return of the King,2003-12-17,False,21.766,8.5
680,Pulp Fiction,1994-09-10,False,18.1003,8.488
372058,Your Name.,2016-08-26,False,29.0331,8.48
429,"The Good, the Bad and the Ugly",1966-12-22,False,11.2189,8.5
157336,Interstellar,2014-11-05,False,38.7745,8.463
13,Forrest Gump,1994-06-23,False,17.1503,8.463
769,GoodFellas,1990-09-12,False,13.735,8.453
346,Seven Samurai,1954-04-26,False,6.6764,8.451
12477,Grave of the Fireflies,1988-04-16,False,0.0077,8.446
667257,Impossible Things,2021-06-17,False,5.1502,8.44
637,Life Is Beautiful,1997-12-20,False,18.1379,8.44
550,Fight Club,1999-10-15,False,17.8239,8.438
14537,Harakiri,1962-09-15,False,4.5827,8.4
11216,Cinema Paradiso,1988-11-17,False,4.2109,8.43
598,City of God,2002-08-30,False,7.1483,8.427
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,False,22.7352,8.426
539,Psycho,1960-06-22,False,9.1214,8.421
40096,A Dog's Will,2000-09-15,False,2.5141,8.4
510,One Flew Over the Cuckoo's Nest,1975-11-19,False,9.3205,8.413
121,The Lord of the Rings: The Two Towers,2002-12-18,False,15.9346,8.411
696374,Gabriel's Inferno,2020-05-29,False,3.02,8.403
311,Once Upon a Time in America,1984-05-23,False,5.938,8.4
324857,Spider-Man: Into the Spider-Verse,2018-12-06,False,13.047,8.4
255709,Hope,2013-10-02,False,2.8557,8.395
1891,The Empire Strikes Back,1980-05-20,False,7.0491,8.394
4935,Howl's Moving Castle,2004-09-09,False,13.5151,8.392
378064,A Silent Voice: The Movie,2016-09-17,False,8.422,8.4
423,The Pianist,2002-09-17,False,7.5952,8.38
807,Se7en,1995-09-22,False,15.5145,8.377
244786,Whiplash,2014-10-10,False,13.7783,8.375
770156,Lucy Shimmers and the Prince of Peace,2020-10-19,False,4.495,8.4
27205,Inception,2010-07-15,False,24.1752,8.371
724089,Gabriel's Inferno: Part II,2020-07-31,False,0.914,8.369
761053,Gabriel's Inferno: Part III,2020-11-19,False,5.3232,8.359
1058694,Radical,2023-10-19,False,5.9365,8.356
12493,High and Low,1963-03-01,False,4.553,8.3
567,Rear Window,1954-08-01,False,4.0226,8.3
274,The Silence of the Lambs,1991-02-14,False,2.8922,8.346
569094,Spider-Man: Across the Spider-Verse,2023-05-31,False,16.5836,8.3
73,American History X,1998-07-01,False,7.9196,8.331
128,Princess Mononoke,1997-07-12,False,7.6429,8.326
105,Back to the Future,1985-07-03,False,16.6269,8.323
620249,The Legend of Hei,2019-08-27,False,6.2043,8.322
1184918,The Wild Robot,2024-09-12,False,18.4017,8.318
820067,The Quintessential Quintuplets Movie,2022-05-20,False,3.3845,8.3
3782,Ikiru,1952-10-09,False,5.2526,8.309
372754,Dou kyu sei – Classmates,2016-02-20,False,4.5195,8.3
207,Dead Poets Society,1989-06-02,False,10.1828,8.3
10494,Perfect Blue,1998-02-28,False,7.0359,8.299
101,Léon: The Professional,1994-09-14,False,12.1308,8.3
15804,A Brighter Summer Day,1991-07-27,False,5.1585,8.3
652837,"Josee, the Tiger and the Fish",2020-12-25,False,5.0061,8.291
914,The Great Dictator,1940-10-15,False,2.1944,8.3
599,Sunset Boulevard,1950-08-10,False,2.4396,8.287
644479,Dedicated to my ex,2019-11-01,False,2.0663,8.3
1139087,Once Upon a Studio,2023-09-24,False,5.4871,8.285
533514,Violet Evergarden: The Movie,2020-09-18,False,6.0084,8.283
42269,We All Loved Each Other So Much,1974-12-21,False,2.8374,8.3
3082,Modern Times,1936-02-05,False,2.405,8.3
335,Once Upon a Time in the West,1968-12-21,False,8.6147,8.282
1186532,The Forge,2024-08-22,False,2.5409,8.278
1585,It's a Wonderful Life,1946-12-20,False,10.1531,8.3
77338,The Intouchables,2011-11-02,False,9.0426,8.271
28,Apocalypse Now,1979-05-19,False,8.1102,8.271
1356039,Counterattack,2025-02-27,False,8.754,8.269
92321,Hotarubi no Mori e,2011-09-17,False,0.0054,8.269
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,False,5.7481,8.269
632632,Given,2020-08-22,False,3.7802,8.3
901,City Lights,1931-02-06,False,1.9965,8.3
975,Paths of Glory,1957-10-25,False,4.5033,8.3
637920,Miracle in Cell No. 7,2019-10-10,False,4.7019,8.3
8587,The Lion King,1994-06-15,False,14.4572,8.3
29259,Le Trou,1960-03-18,False,7.1472,8.3
10376,The Legend of 1900,1998-10-28,False,7.0582,8.247
670,Oldboy,2003-11-21,False,9.7974,8.246
